Tabela de composicao em 100g de alimento;Energia (kcal);Proteina (g);Lipideos (g);Carboidratos (g);Calcio (mg);Ferro (mg);Retinol (mcg);Vitamina C (mg);Sodio  (mg);Restricao;Cod.
Abacate, cru;96.15;1.24;8.4;6.03;7.92;0.21;61.2;8.66;0;Liberado;0
Abacaxi, banana e cenoura, suco natural (nectar), c/ acucar refinado ;64;0.57;0.14;15.7;10.5;0.26;235;7.96;5.19;proibido para menores 3 anos;2
Abacaxi, banana e cenoura, suco natural (nectar), s/ acucar;28;0.61;0.15;6.59;11.3;0.28;261;8.82;4.43;Liberado;0
Abacaxi, cru;48.32;0.86;0.12;12.33;22.43;0.26;2.3;34.62;0;Liberado;0
Abacaxi, maracuja e caju, suco natural (nectar), c/ acucar refinado;70;0.55;0.23;16.7;9.47;0.33;22.3;53;14.5;proibido para menores 3 anos;2
Abacaxi, melao e maracuja, suco natural (nectar), c/ acucar refinado;63;0.59;0.2;15;7.74;0.29;21.6;15.6;9.17;proibido para menores 3 anos;2
Abacaxi, melao e maracuja, suco natural (nectar), s/ acucar;36;0.63;0.22;8.17;8.1;0.31;23.4;16.8;8.94;Liberado;0
Abacaxi, polpa, congelada;30.59;0.47;0.11;7.8;13.54;0.36;2;1.25;1.24;Liberado;0
Abacaxi, polpa, congelada ;34;0.47;0.12;7.8;13.6;0.36;2.26;1.25;1.24;Liberado;0
Abacaxi, suco natural (nectar), c/ acucar refinado;47;0.23;0.11;11.5;6.06;0.16;0.63;10.5;1.85;proibido para menores 3 anos;2
Abacaxi, suco natural (nectar), s/ acucar;18;0.24;0.12;3.99;6.31;0.17;0.69;11.4;0.98;Liberado;0
Abadejo, file, congelado, cru;59.11;13.08;0.36;0;10.17;0.11;0;0;78.52;Liberado;0
Abiu, cru;62.42;0.83;0.7;14.93;5.78;0.16;46;10.28;0;Liberado;0
Abobora, cabotian, crua;40;1.75;0.54;6.19;18;0.37;508;5.09;0;Liberado;0
Abobora, menina brasileira, crua ;13;0.61;0;2.17;8.74;0.15;1335;1.5;0;Liberado;0
Abobora, moranga, crua;15;1.12;0.13;1.44;3.05;0;353;9.65;0;Liberado;0
Abobora, pescoco, crua;24.47;0.67;0.12;6.12;8.81;0.28;0;2.09;0.75;Liberado;0
Abobrinha, italiana, crua;19.28;1.14;0.14;4.29;15.13;0.24;41;6.87;0;Liberado;0
Abobrinha, paulista, crua;30.81;0.64;0.14;7.87;18.67;0.17;0;17.55;0.5;Liberado;0
Acafrao;310;11.43;5.85;65.37;111;11.1;26.5;80.8;148;Liberado;0
Acai, polpa, com xarope de guarana e glucose;110;0.7;3.7;21.5;22;0.3;0;10.3;15;Proibido;3
Acai, polpa, congelada;58.05;0.8;3.94;6.21;35.18;0.43;29;0;5.18;Liberado;0
Acelga, crua;20.94;1.44;0.11;4.63;42.99;0.27;330;22.55;1.18;Liberado;0
Acerola, crua;33.46;0.91;0.21;7.97;12.55;0.22;60;941.37;0;Liberado;0
Acerola, polpa, congelada;21.94;0.59;0;5.54;7.59;0.17;173;623.24;1.28;Liberado;0
Acerola, suco natural (nectar), c/ acucar refinado;26;0.16;0.08;6.33;7.53;0.01;40.3;302;0.75;proibido para menores 3 anos;2
Acerola, suco natural (nectar), s/ acucar ;7;0.16;0.09;1.45;7.74;0;42.4;317;0.14;Liberado;0
Achocolatado em po diet;337.7;29.42;2.39;55.3;664.18;2.2;4.63;2.22;978.44;Liberado;0
Achocolatado, po;401.02;4.2;2.17;91.18;44.4;5.36;795.85;0;65;proibido para menores 3 anos;2
Acucar, cristal;386.85;0.32;0;99.61;7.59;0.16;0;0;0;Liberado;0
Acucar, mascavo;368.55;0.76;0.09;94.45;126.53;8.3;0;0;25;Liberado;0
Acucar, refinado;386.57;0.32;0;99.54;3.5;0.11;0;0;12;Liberado;0
